"id","fqdn/ip","port","severity","finding","cve","cwe"
"intermediate_cert_expiration <#2>","arthur.lutz.im/82.65.202.15","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#2>","arthur.lutz.im/82.65.202.15","443","INFO","ISRG Root X1 <-- DST Root CA X3","",""
"intermediate_cert_badOCSP","arthur.lutz.im/82.65.202.15","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","arthur.lutz.im/82.65.202.15","443","INFO","302 Moved Temporarily ('/')","",""
"HTTP_clock_skew","arthur.lutz.im/82.65.202.15","443","INFO","0 seconds from localtime","",""
"HSTS_time","arthur.lutz.im/82.65.202.15","443","OK","730 days (=63072000 seconds) > 15552000 seconds","",""
"HSTS_subdomains","arthur.lutz.im/82.65.202.15","443","OK","includes subdomains","",""
"HSTS_preload","arthur.lutz.im/82.65.202.15","443","OK","domain IS marked for preloading","",""
"HPKP","arthur.lutz.im/82.65.202.15","443","INFO","No support for HTTP Public Key Pinning","",""
"banner_server","arthur.lutz.im/82.65.202.15","443","INFO","nginx","",""
"banner_application","arthur.lutz.im/82.65.202.15","443","INFO","No application banner found","",""
"cookie_count","arthur.lutz.im/82.65.202.15","443","INFO","0 at '/' (30x detected, better try target URL of 30x)","",""
"X-Frame-Options","arthur.lutz.im/82.65.202.15","443","OK","SAMEORIGIN","",""
"X-Content-Type-Options","arthur.lutz.im/82.65.202.15","443","OK","nosniff","",""
"Content-Security-Policy","arthur.lutz.im/82.65.202.15","443","OK","upgrade-insecure-requests","",""
"Content-Security-Policy-Report-Only","arthur.lutz.im/82.65.202.15","443","OK","default-src https: data: blob: ; object-src https: data: 'unsafe-inline'; style-src https: data: 'unsafe-inline' ; script-src https: data: 'unsafe-inline' 'unsafe-eval'","",""
"Permissions-Policy","arthur.lutz.im/82.65.202.15","443","OK","interest-cohort=()","",""
"X-XSS-Protection","arthur.lutz.im/82.65.202.15","443","INFO","1; mode=block","",""
"banner_reverseproxy","arthur.lutz.im/82.65.202.15","443","INFO","--","","CWE-200"
"heartbleed","arthur.lutz.im/82.65.202.15","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","arthur.lutz.im/82.65.202.15","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","arthur.lutz.im/82.65.202.15","443","OK","no session ticket extension","CVE-2016-9244","CWE-200"
"ROBOT","arthur.lutz.im/82.65.202.15","443","OK","not vulnerable, no RSA key transport cipher","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","arthur.lutz.im/82.65.202.15","443","OK","supported","","CWE-310"
"secure_client_renego","arthur.lutz.im/82.65.202.15","443","OK","not vulnerable","CVE-2011-1473","CWE-310"
"CRIME_TLS","arthur.lutz.im/82.65.202.15","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
