"id","fqdn/ip","port","severity","finding","cve","cwe"
"LOGJAM-common_primes","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","RFC7919/ffdhe2048","CVE-2015-4000","CWE-310"
"LOGJAM","www.cartographiepublicitaire.org/51.159.70.213","443","OK","not vulnerable, no DH EXPORT ciphers,","CVE-2015-4000","CWE-310"
"BEAST","www.cartographiepublicitaire.org/51.159.70.213","443","OK","not vulnerable, no SSL3 or TLS1","CVE-2011-3389","CWE-20"
"LUCKY13","www.cartographiepublicitaire.org/51.159.70.213","443","OK","not vulnerable","CVE-2013-0169","CWE-310"
"winshock","www.cartographiepublicitaire.org/51.159.70.213","443","OK","not vulnerable","CVE-2014-6321","CWE-94"
"RC4","www.cartographiepublicitaire.org/51.159.70.213","443","OK","not vulnerable","CVE-2013-2566 CVE-2015-2808","CWE-310"
"clientsimulation-android_442","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-android_500","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_60","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_70","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_81","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_90","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-android_X","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-chrome_74_win10","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-chrome_79_win10","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-firefox_66_win81","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-firefox_71_win10","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-ie_6_xp","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","No connection","",""
"clientsimulation-ie_8_win7","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","No connection","",""
"clientsimulation-ie_8_xp","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","No connection","",""
"clientsimulation-ie_11_win7","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","TLSv1.2 DHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-ie_11_win81","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","TLSv1.2 DHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-ie_11_winphone81","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","No connection","",""
"clientsimulation-ie_11_win10","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
